content,Theme,label
"بر کشتگان نینوا اربعین آمد
آل پیامبر کربلا دل غمین آمد

#Arbaeen2021 
#Arbaeen 
#Arbaeenwalk 
#سلام_بر_حسین",غم,positive
"من خیلی خیلی خیلی شرمندتم...

#Arbaeen","عشق،غم",positive
امام حسین علیه السلام آن قربانی بزرگی بود که خداوند گرفت و راه حق و باطل را تا ابد ازهم جدا کرد. #Arbaeen,,positive
"@Zahra1378zahra @rezaghadam یا حسین
#Arbaeen",,positive
"جاماندگان اربعین حسینی تهران ۱۴۰۰
#Arbaeen2021 
#ياحسين 
#Arbaeen 
#Tehran1400 https://t.co/c8lrNQqaFB",جامانده,positive
"این #Arbaeen که بدون ما گذشت
ولی ایشالله سال دیگه هممون همین موقع تو حرم داریم زیارت اربعین میخونیم

#Arbaeen2021 
#حبيبي_حُسين 
#يااااااحسين 
#زيارة_الاربعين","عشق،جامانده",positive
"بیش از۱۴۰۰سال گذشته 
متاسفانه یکی از مرگبار ترین فجایع بشری (کرونا) رخ داده
اما نه زمان و نه اتفاقات ناگوار،ذره ای ازعظمت #اربعین کم نکرده است.اینجاست که شاعر میگه:
اصلا حسین جنس غمش فرق میکند 
این راه عشق پیچ و خمش فرق میکند
#حبيبي_حسين 
#حب_الحسین_یجمعنا
#Arbaeen2021 
#Arbaeen","کرونا،تعجب",positive
"کاش قبل از اربعین
 یک خوش خبر پیدا شود
تا بگوید زائران 
باز است راه کربلا ... 🥺
#Arbaeen #Karbala https://t.co/CodxPpdpi0","غم،دلتنگی،آرزو",positive
"راهپیمایی جاماندگان اربعین حسینی ۱۴۰۰
تهران
#Arbaeen2021 
#Arbaeen 
@es_Khamenei 
@Khamenei_fa 
@khamenei_ir
@fr_Khamenei https://t.co/GrxfJdOLsy",جاماندگان,positive
"بالاخره معلوم نشد جمهوری اذربایجان به همراه اسراییل و ترکیه در شما ایران چه غطلی میخان بکنن .
مگر ترکهای جمهوری اذربایجان ، شیعه نیستن ؟؟؟
مگر ترکهای جمهوری آذربایجان ، منتظر ظهور نیستن ؟؟؟
پس اسراییل و ترکیه اونجا چه غلطی میکنن ؟؟؟

#الحسین
#Hussain 
#Arbaeen2021 
#Arbaeen","سیاسی،خشم",positive
"عشق فقط عشقِ حُسینی۴❤🙌🏻
💯🚩

#Arbaeen_e_Hussaini #Arbaeen #سفر_عشق_حسین",,positive
"تمدن غرب برای رفع کمبود های خود اسپایدرمن و بتمن و رابین هود ساخته و تمدن ایرانی شیعی علی لندی ساخته که جانش رو برای هم وطناش میده
یک تار موی شهید علی لندی می ارزه به تمام قهرمانهای پوشالی غربی
#الحسین
#Hussain 
#Arbaeen2021 
#Arbaeen
#الحسین
#Hussain 
#Arbaeen2021 
#Arbaeen","فرهنگی،انتقادی",positive
"السلام علی الحسین و علی علی بن الحسین و اولاد الحسین وعلی اصحاب الحسین
#الحسین
#Hussain 
#Arbaeen2021 
#Arbaeen",,positive
"درسته که امسال هم جا موندیم 
اما ...
#Arbaeen 
#Arbaeen2021 https://t.co/UrvSV4u2QV",جامانده,positive
"تا که پرسیدم از قلبم عشق چیست

در جوابم اینچنین گفت و گریست

لیلی و مجنون فقط افسانه اند

عشق در دست حسین بن علیست

#Arbaeen",عشق,positive
"باش اشکال نداره
تو هم دل ما رو بسوزون
#حب_الحسین_یجمعنا 
#Arbaeen
#Arbaeen2021 https://t.co/Bz8GBvp1Jl",عشق,positive
"@Soobh777 امین
درمان دردهمه عالم
#الهم_عجل_لولیک_الفرج
#Arbaeen
#حب_حسین_یجمعنا",,positive
"دوستان حتما ببینید و انتشار بدین.
#قیام_سپید #قیام_سپید_چهارده_ابان 

#نوید_افکاری #شاهین_ناصری #امیرحسین_حاتمی #شيداى_همدانى_را_آزاد_كنيد #طلب_کالدرون_را_بدهید #مرگ_بر_دیکتاتور #اگاهی_جمعی #ريتويت #جهالت #بیتکوین #اربعین 
#Arbaeen https://t.co/ZYXg7GNj1m","سیاسی،خشم",negative
"باز اربعین شد و من جا ماندم😭
آقا کمک کن سرباز باشم برای امام زمانم نه سربار! 
#hosei #arbaeen","جامانده،عشق",positive
"کی گفته عکسا صدا ندارن ؟! 💔😭
#arbaeen https://t.co/imawhzOFT0","عشق،غم",positive
"حمایت کنید تا کار را تمام کنیم.
#قیام_سپید #قیام_سپید_چهارده_ابان 

#مرگ_بر_دیکتاتور #مهم #طلب_کالدرون_را_بدهید #ریتوییت #جهالت #اگاهی_جمعی #بیتکوین 
#arbaeen https://t.co/ZYXg7GNj1m",سیاسی,negative
"اربعین_  ۱۴۰۰
#Arbaeen2021 #Arbaeenwalk2021 #Arbaeen #الاربعين https://t.co/iAw8263m6q",,positive
"مسئولیت همه‌ی ما در برابر نعمت وجود
 اباعبدالله الحسین (ع)

#Arbaeen #Arbaeenwalk2021 #Arbaeen2021 #حبيبي_حسين https://t.co/WtB1I1xwmb",,positive
"@HajAhmad128 بابی انت و امی یا حسین
#Arbaeen2021 
#Arbaeen 
#WhatIsArbaeen 
#whoishussain",,positive
"کربلا رفتن خود را به رخ ما نکشید 
ما درست است نرفتیم ولی دل داریم 
شایان مصلح تکلیمی 
#شایان_مصلح 
#اربعین 
#كربلا 
#Arbaeen2021 
#Arbaeen","غم،دلتنگی،جامانده",positive
"به تو از دور سلام!
#حب_حسین_یجمعنا 
#حبيبي_حُسين 
#Arbaeen2021 
#Arbaeen",,positive
"حمایت کنید مردم با خبر بشن.
#قیام_سپید 
#قیام_سپید_چهارده_ابان 

#مرگ_بر_دیکتاتور #مهم #طلب_کالدرون_را_بدهید #ریتوییت #جهالت #اگاهی_جمعی #بیتکوین #رسانه #مجلس #واکسن #کرونا #
#arbaeen https://t.co/Jq9YxYR0u7",سیاسی,negative
"فقط توییت‌های فارسی رو #ريت نزنید.
نکنه عشاق بین‌الملل احساس غریبی کنن...
#Arbaeen2021 
#Arbaeen 
#Arbaeen_e_Hussaini 
#Arbaeen1443 
#Hussein 
#PeaceDay 
#whoishussein
#WhatIsArbaeen 
#اربعین_حسینی 
#اربعین 
#السلام_عليک_يااباعبدالله",رسانه,positive
"با اين جوشش اربعينى كه من امروز توى شهر ديدم شايد حكمت كرونا اين بود كه انرژى مغناطيس #اربعین محدود به عراق نشه و به سرتاسر جهان منتقل بشه. ما نسل خوشبختی هستیم که روزهای آغازین قیام جهانی رو رقم زدیم. 

«صلی الله علی الحسین و علی اصحاب الحسین»

#Arbaeen2021 
#Arbaeen https://t.co/Aqu52ugDT9","کرونا،تعجب،عشق",positive
"#اربعين
.
حيات خضر نبى گر به لطف آب بقاست
حيات ما اثر چاى روضه ى سقاست...
.
#arbaeen
#arbaeen2021 https://t.co/lLsNUUaTBz",عشق,positive
"یا حسین مظلوم ما را آماده یاری امام زمان بگردان
#Arbaeen 
#Arbaeen","انتظار،عشق،",positive
"به تو از دور سلام... 
#Arbaeen https://t.co/QQtgDmCxoV",,positive
"🏴اربعین حسینی تسلیت باد

بانوی جوان غیرمسلمان هلندی که فقط به‌خاطر سر و کار با پناهندگان و از روی کنجکاوی، از پیاده‌روی #اربعین به سمت #کربلا سر درآورده، عمیقأ شیفته این فضا شده و می‌گوید: ""اینجا زیباترین جای دنیاست.""

السلام علیک یا اباعبدالله
#Arbaeen #ImamHussain #Arbaeenwalk https://t.co/Q0re6Hl838","عشق،رسانه",positive
"14 ابان 1400 فرق بین وطن پرست و لب و دهن مشخص میشود.
#قیام_سپید 

#مرگ_بر_دیکتاتور  #مهم #فوری #مرگ_بر_خامنه‌ای #طلب_کالدرون_را_بدهید #جهالت #اگاهی_جمعی #بيتكوين #ريتويت #اربعین 
#iran #Arbaeen https://t.co/Jq9YxYzpCz",سیاسی,negative
"اونای که قبلاً اربعین دیدن، به نظرتون امسال خلوت تر نیست، دل آدم می‌شکنه
#Arbaeen",غم,positive
"امروز وقتی تصاویر رو از تلویزیون می بینم فقط میگم:

آه یا ابا عبدالله 
#اربعین 
#Arbaeen","عشق،غم،رسانه",positive
"باز اربعین آمد و من جا ماندم
#Arbaeen2021 
#Arbaeen",جامانده,positive
"به جز از علی که آرد پسری ابوالعجایب
که به اربعین بخواند فقرا و اغنیا را
 زیباترین تمدن، اربعین است که سیلی محکمی بر گوش صهیونیست جهانی و غربگراهاست. 
#Arbaeen 2021",عشق,positive
"#Arbaeen
کاش منم کربلایی میشدم
#Hussain","غم،دلتنگی",positive
"سلام من به حسین و به کربلای حسین
تمام عالم امکان شود فدای حسین
#Arbaeen
#Arbaeen2021",عشق,positive
"#اربعین_حسینی
این حسین کیست که عالم همه دیوانه ی اوست..
who is Imam Hussain??
#Arbaeen2021
#Arbaeen 
#Iraq 
#Iran 
#shia_muslims https://t.co/ysOiHuhjUS",عشق,positive
"فقط ی جامونده حال ی جامونده رو درک میکنه
#Arbaeen2021 
#Arbaeen","عشق،جامانده،غم",positive
"ز جهانی سر خم نکردم، جز روبروی نوکرِ حسین!
من:))))غلام:)))))نوکراتم:)))
#Arbaeen","عشق،غم،شادی",positive
"اللهم الرزقنا توفیق الزیارت الحسین( ع)
#Arbaeen
#Arbaeenwalk
#Arbaeen2021
#اربعین_حسینی https://t.co/MTn78ejAGW",,positive
"در جوار حرمش هرکه دعاگوست،بگو

جای ما در وسط صحن فقط گریه کند
😭😭😭😭😭😭😭😭
#اربعين #Arbaeen https://t.co/jZg4LIju5S","عشق،غم",positive
"چطوری میشه درک کرد زیارت اربعین رو؛ وقتی بعد غسل و توی اون فاصلۀ کم حال غش به جناب جابر دست می‌ده :,((؟!
#Arbaeen2021 #Arbaeen
#اربعین۱۴۰۰ #اربعین","عشق،غم",positive
"کربلا رفته ها ، ما کربلا نرفته هارو دعا کنین...
خودم اینجا ، دلم پیش حسینه 💔😔
.
#Arbaeen2021
#Arbaeen","جامانده،غم",positive
"به عشق حضرت ارباب تو این طرح شرکت کنین.
#فرزندان_غدیر
#اربعین_حسینی 
#جا_موندم
#Arbaeen2021 
#Arbaeen https://t.co/g3x7FBg8i0",,positive
"نمی دانم کیستی 
فقط عمری است می شناسمت
#حسین
.
.
#Arbaeen2021 
#Arbaeen",عشق,positive
"الان باید روبروی حرم میبودیم و دست رو سینه میگفتیم : سلام آقا ، که الان رو بروتونم 😭
اما متاسفانه تو خونه هستم و میگم: #به_تو_از_دور_سلام 😢
.
#Arbaeen2021 
#Arbaeen","عشق،غم،دلتنگی",positive
"در اربعین دعایی مهمتر از دعا برای فرج و ظهور منجی نیست.
منتظران واقعی نمیتوانند امام زمان(عج)را در پس پرده ببینند،و کسی در عالم ایشان را نشناسد.، اربعینی ها باید مبلغ امام زمان باشند.
#Arbaeen 2021
#Hussain","عشق،انتظار",positive
"گرچه دوریم، به یاد تو سخن می‌گوییم
#حب_الحسین_یجمعنا
#اربعین #Arbaeen https://t.co/x6FymfJUM7","عشق،دلتنگی",positive
"از کجا معلوم اربعین سال بعد من باشم؟
#Arbaeen",دلتنگی,positive
"یک سلام از راه دور
یک جواب از سوی یار
این تمام دلخوشی های یک جامانده است...
#Arbaeen 2021","عشق،دلتنگی،جامانده",positive
"در گوشه‌ای نشسته‌ام و گریه می‌کنم 
جانا بیا سری به دلِ مضطرم بزن ...
#حب_الحسین_یجمعنا
#اربعین
‌#Arbaeen","غم،دلتنگی",positive
"حسین من، بیا و این دل شکسته را بخر...😔😔
#Arbaeen","غم،دلتنگی",positive
"السلام علیک یا سیدالشهداء...
#اربعین 
#اربعین_حسینی 
#Arbaeen 
#اربعین۱۴۰۰ 
#Arbaeenwalk2021 
#Arbaeen2021",,positive
"@yekta_ir امروز غروب یه بچه کوچیک دو سه ماهه رو قنداق کرده بودند
مرد جوونی با بچه نشست وسط مسیر مشایه
با احتیاط زیاد که نیفته
آخه خیلی کوچیک بود
لعنت به حرمله 😭😭😭😭
#Arbaeen
#Arbaeen2021","عشق،غم",positive
"😭 از ما که گذشت...
#Arbaeen https://t.co/64tJudFmfX","عشق،غم،جامانده",positive
"به #اشک #چله گرفتم که محترم باشم
ولی نشد که #شب_اربعین #حرم باشم
#Arbaeen2021 
#Arbaeen 
#Arbaeenwalk 
#اربعین_حسینی 
#اربعین
#کربلا",,positive
"دوری و دوستی سرم نمیشه و
هیچ کجا واسم حرم نمیشه و..
آروم جونم
#Arbaeen
#Arbaeen2021",,positive
"حاجی دلم برات تنگ شده

#قاسم_سليماني 
#Arbaeen https://t.co/CzqWV4Qpx5","غم،دلتنگی",positive
"اصلاً حسين جنس‌ غمش فرق می‌کند
اين راه عشق پيچ‌ و خمش فرق می‌کند

از نوع ويژگی دعا زير قبه‌اش
معلوم می شود حرمش فرق می‌کند
 #Arbaeen2021
#حب_الحسین_یجمعنا 
#Arbaeen https://t.co/lnEMsgFjDb","عشق،غم",positive
"اشک

نگاه

حسرت

تصویر کربلا

این است روزگار زیارت نرفته ها …

الّلهُمَّ ارزُقنا کربلا

 #اربعین
#اربعین_حسینی
#اربعین۱۴۰۰
#Arbaeen 
#Arbaeen2021 https://t.co/RfWRK6dgQY",,positive
"جا مانده ام از اربعین، باید بسوزم تا ابد...
  #Arbaeen2021 
#Arbaeen 
#اربعین https://t.co/Z9upa1VBkQ","جامانده،غم",positive
"از ما برسانید محضر ارباب سلامی
#اربعین
#Arbaeen https://t.co/NFMRUL11Fu",,positive
"نیست جایی رو سیاهان را در اقلیم بهشت
هرچه خواهی کن که بی ما کربلا زیباترست
#کربلا
#اربعین
#Arbaeen2021 
#Arbaeen https://t.co/agYjE1Fcc1",,positive
"بر ظهور یوسف زهرا ‌رسیم از اربعین 
این همان راهیست باید طی شود
#Arbaeen2021 
#Arbaeen 
#اربعین https://t.co/upUyCHnHJS","عشق،انتظار",positive
"جامانده ها راهی به جز گریه ندارند
جز اشک بر درد فراق ما دوا نیست :)
#Arbaeen","جامانده،غم،عشق",positive
"@yekta_ir دلم می خواست یه کاری کنم  پدرم که  توان جسمیش تحمل  شلوغی را نداشت یه زیارت به دل چسب بخونه  ارباب عنایت کردند تو اوج شلوغی بالا سر   یه جایی پیدا کردم پدرم راحت روی صندلی نشست  مفاتیح را ختم کرد 
#Arbaeen",خاطره,positive
"انشالله سال بعد همگی با هم اربعین بین الحرمین سلام بدیم به ارباب و مولی 
#Arbaeen2021 #Arbaeen #سلام_بر_حسین","عشق،آرزو",positive
"الحمد لله الذی خلق الحسین
#Arbaeen2021 
#Arbaeen 
#Who_is_Hussain",,positive
"اربعین حسینی تسلیت باد 
لایک وکامنت فراموش نشه. 
#Arbaeen2021 
#Arbaeen 
#اربعین https://t.co/641Sw5SNM4",,positive
"🏴
فرارسیدن #اربعین سرور و سالار شهيدان حضرت ابا عبدالله الحسین علیه السلام تسلیت باد.

#اربعین
#Arbaeen https://t.co/0i7eqEQAk2",,positive
"@yekta_ir از ناراحتی های جامانده ها ، ندیدن این بچه های خونگرم و دوست داشتنی 
#Arbaeen 
#اربعین https://t.co/SFxewcH54F","جامانده،غم،خاطره",positive
"ولاجعله الله آخر العهد منی لزیارتکم ...
خدواندا انشالله که این آخرین زیارتمان نباشد 
#Arbaeen2021 #Arbaeenwalk2021 #Arbaeen 
#اربعین_حسینی #اربعین۱۴۰۰ #اربعین #حبيبي_حُسين #حب_حسین_یجمعنا",,positive
"السلام علی الحسین و علی علی بن الحسین و علی اولاد الحسین و علی اصحاب الحسین 
#Arbaeen2021 #Arbaeen #Arbaeenwalk2021 
#اربعین_حسینی #اربعین۱۴۰۰ #حبيبي_حُسين",,positive
"عجب چراغ شگفت آوریست
 نور حسین
که هر چه باد می وزد
 می شود فروزان تر
#حب_الحسین_یجمعنا
 #Arbaeen2021
#Arbaeen",عشق,positive
"بحرمه الحسین الهم عجل لولیک الفرج
#Arbaeen https://t.co/B1RVSon5E3","انتظار،عشق،",positive
"داستان حسین؛
داستان ایستادگی و جاودانگی در عینِ اقلیّت است!
ما میتوانیم مثل حسین
برای حقیقت انسانی خود،با دستِ خالی امّا باعزت بایستیم
 #Arbaeen2021
#Arbaeen 
#اربعین 
#حب_الحسین_یجمعنا",,positive
"من ایرانم و طُ عراقی.....
چه فراقی آقا...... چه فراقی......
#Arbaeen
#ياحسين","غم،دلتنگی",positive
"پيامبر(ص):
«به‌وسيلهٔ من هشدار داده شديد و به‌وسيلهٔ على(ع) هدايت مى‌يابيد و به‌وسيلهٔ حسن احسان مى‌شويد و به‌وسيلهٔ حسين خوشبخت می‌گرديد و بدون او بدبخت؛ بدانيد كه حسين درى از درهاى بهشت است هر كس با او دشمنى كند، خداوند بوى بهشت را بر او حرام میكند.»
#Arbaeen",حدیث,positive
"صراط علی مستقیم
صراط مالک یوم الدین
اللهم ایاک نعبد وایاک نستعین
#Arbaeen 
#Arbaeen2021 https://t.co/OqTGNPELQ5",آیه,positive
"علامه امینی در شب عاشورا برای امام زمان علیه السلام  صدقه کنار میگذاشتند ومیفرمودند: قلب آقا امشب تحت فشار است؛
در شب اربعین اباعبد الله، برای سلامتی وجود نازنینشون وتعجیل در فرجشون صلوات بفرستید
#Hussain   
 #Arbaeen
#peace https://t.co/0aKxtnGsVi","سخن، انتظار",positive
"می‌خواهید آخرالزمان را درک کنید و منجی را پیدا کنید؟
چرا یک نگاهی به راهپیمایی اربعین نمی اندازید!؟
انجیل را باز کن و این آیات را بخوان:
باب ۲۴، آیه ۳۰_۳۹.
#Arbaeen 
#اربعین","انتظار،عشق،",positive
"پیاده روی کشیش های مسیحی برای زیارت اربعین!
درباره علت حضورشان در پیاده‌روی اربعین سوال شد، 
گفتند: پیامبران مان متفاوت هستند، ولی ❊حسین❊ ما یکی است! …
و در زمان ظهور منجی هم این چنین خواهد بود.
#Arbaeen","فرهنگی،سیاسی",positive
"آذانِ مَغرب،حرمِ مولا علی(ع) نجفِ اشرف
#imam_ali 
#najaf 
#arbaeenwalk https://t.co/v7Ovq9o8Pp",,positive
"السلام علی الحسین و علی شهداء الحسين
#مطار_بغداد 
#بغداد 
#Arbaeen_SpiritualJourney 
#Arbaeen
#Arbaeen2021 
#Arbaeenwalk",,positive
"اَلسَّلامُ عَلَی الْحُسَیْنِ وَعَلی عَلِیِّ بْنِ الْحُسَیْنِ وَ عَلی اَوْلادِ الْحُسَیْنِ وَعَلی اَصْحابِ الْحُسَیْنِ 

#Arbaeen_e_Hussaini 
#Arbaeen2021 
#Arbaeenwalk https://t.co/szlfrrkXdP",,positive
"اَلسَّلامُ عَلَی الْحُسَیْنِ وَعَلی عَلِیِّ بْنِ الْحُسَیْنِ وَ عَلی اَوْلادِالْحُسَیْنِ وَعَلی اَصْحابِ الْحُسَیْنِ 💚❤

#اربعین2021
#Arbaeen_e_Hussaini 
#Arbaeen2021 
#Arbaeenwalk https://t.co/UO4q1AUKpI",,positive
"@AlkafeelAbbas اللهم صلی علی محمد و آل محمد و عجل فرجهم

#Arbaeen2021 
#Arbaeen 
#Arbaeenwalk 
#Arbaeen_SpiritualJourney",,positive
"اسلام علیک یا ابوالفضل العباس
السلام علیک یا باب الحوائج
🚩🚩🏴🏴
 #walk 
#Arbaeenwalk 
#Arbaeen2021 
#Arbaeen 
#WalkTowardsHussain https://t.co/Ej84ZjbMPJ",,positive
"اَلسَّلامُ عَلَیْکَ یا اَبا عَبْدِاللّهِ الْحُسَیْن (ع) 😭😭
#Arbaeen2021 
#Arbaeenwalk 
#WalkTowardsHussain",,positive
"بر کشتگان نینوا اربعین آمد
آل پیامبر کربلا دل غمین آمد

#Arbaeen2021 
#Arbaeen 
#Arbaeenwalk 
#سلام_بر_حسین","غم،عشق",positive
"لبیک یا حسین ع
#Arbaeen2021 #Arbaeen_e_Hussaini #Arbaeenwalk https://t.co/oyGBfQkOEx",,positive
"@ayyaaaar نیست ک نیست ک نیست ❤
#Arbaeen2021 
#Arbaeenwalk 
#WhatIsArbaeen",,neutral
"روایت   کشیش صربستانی از حضور در  راه پیمایی اربعین

گوران آرسیچ کشیش ارتدکس  صربستانی در بخشی از این مستند می گوید :
متن کامل را  بخوانید
https://t.co/UfOMcmixBL
#مارش_نامیرا #اربعین #مستند #امام_حسین #راهپیمایی_اربعین #Arbaeen2021
#Arbaeenwalk
#اربعین_حسینیؑ https://t.co/jyCgoqbuZ3","خبری،فرهنگی",positive
"🏴اربعین حسینی تسلیت باد

بانوی جوان غیرمسلمان هلندی که فقط به‌خاطر سر و کار با پناهندگان و از روی کنجکاوی، از پیاده‌روی #اربعین به سمت #کربلا سر درآورده، عمیقأ شیفته این فضا شده و می‌گوید: ""اینجا زیباترین جای دنیاست.""

السلام علیک یا اباعبدالله
#Arbaeen #ImamHussain #Arbaeenwalk https://t.co/Q0re6Hl838",فرهنگی,positive
"اللهم الرزقنا توفیق الزیارت الحسین( ع)
#Arbaeen
#Arbaeenwalk
#Arbaeen2021
#اربعین_حسینی https://t.co/MTn78ejAGW",,positive
"سفر  روحانی♥️
#Arbaeenwalk #Arbaeenwalk2021 https://t.co/9ucxLRzyX6","سفر،عشق",positive
"به #اشک #چله گرفتم که محترم باشم
ولی نشد که #شب_اربعین #حرم باشم
#Arbaeen2021 
#Arbaeen 
#Arbaeenwalk 
#اربعین_حسینی 
#اربعین
#کربلا",عشق,positive
"پیاده روی اربعین بی نظیرترین و زیباترین رویداد روی زمین است.  این بشریت را به شیوه ای زیبا و صلح آمیز متصل می کند.  این پیاده روی ما را به یاد عظمت مبارزه امام حسین (ع) می اندازد.
#Arbaeen2021 
#Arbaeenwalk 
#اربعین_حسینی 
#اربعین۱۴۰۰","عشق،فرهنگی",positive
"به نیابت از عموی شهیدم 🌷🌷🌷
#Arbaeen2021 
#Arbaeenwalk 
#Arbaeen https://t.co/GMmeIhSd9B","عشق،فرهنگی",positive
"منجی، پسر حسین خواهد آمد، با پیام آزادگی و عدالتی که حسین با آن در تاریخ می‌درخشد.
#Arbaeenwalk
#Arbaeen2021","انتظار،عشق",positive
"قیام کربلا، اعتراض علیه ظلم، قدرت‌طلبی و زورگویی بود، بنابراین بایستی این پیام به روشنی تبیین شود و در گرد و غبار ناآگاهی‌ها و انحرافات گم نشود.
#Arbaeenwalk
#Arbaeen2021","عشق ،پیام",positive
"یا لیتنی کنت معھم💔
#Arbaeen2021 
#Arbaeenwalk https://t.co/aMOC58NYct","عشق،غم",positive
"یاد آخرین سفر #اربعین بخیر
قدر ندونستیم
#Arbaeen
#Arbaeen2021 
#Arbaeenwalk https://t.co/vQOLQLUZ4S","غم،دلتنگی،خاطره",positive
"منبع خبری بنده هم ، همان منابعی هست که رسانه ها عادت به سانسور کردن آن دارند. لزومی بر بیان وجه افتراق میان رسانه های داخلی و خارجی نمیبینم، وقتی که موضوع مانند روز روشن معلوم است‌ . 
#اربعین 
#اربعین۱۴۰۰ 
#Arbaeen2021 
#Arbaeenwalk 
#Arbaeenwalk2021","خبری،فرهنگی",neutral
"بھترین لذت روی زمین
پا برھنه کربلا اربعین...
🙌❤️🚩

#Arbaeenwalk 
#Arbaeen2021 
#اربعین_حسینی https://t.co/nxT2ftu2xZ","عشق،غم،،دلتنگی",positive
"من الان حقم بود که اینجا باشم‌😭😔💔
#Arbaeen2021 
#Arbaeenwalk https://t.co/rUEmJvKk7r","غم،دلتنگی،عشق",positive
"عشق یعنی به تو رسیدن...

#arbaeen #arbaeen2021 #arbaeenwalk #imamhussain #karbala #safar #امام_حسین #اربعین #الاربعین #ammaralnashed https://t.co/OSPYS3PeVG",عشق,positive
"به امید آن روزی که من هم بتونم برم #كربلا 🤲
#شب_زیارتی #اربعین #جامانده 
#Iran #Arbaeen2021 #Arbaeenwalk https://t.co/moEwi72GTQ",عشق,positive
"ولی ما هنوز چشم به دستای شما دوختیم یاابالفضل...💔
#اربعین 
#شب_زیارتی 
#Arbaeenwalk","عشق،آرزو",positive
"صاحب عزا !
ردّ پای این همه عاشق
روی دل جاده ی اربعین
یعنی:
تو....نزدیکِ نزدیکی....

#Arbaeen2021
#Hussain
#Arbaeenwalk https://t.co/fWWC4QgjZe",عشق,positive
"لبیک یا حسین ❤

#teamtehreek #HussainUnitesUs #Arbaeen #ArbaeenWalk #WalkForHussain
#حب_الحسین_یجمعنا #الحسین_یجمعنا #وفاء_الحسین #اربعین https://t.co/Z6fra1LGRY",عشق,positive
"خدمت زائرین شرف لنا ❣️
#اربعین_حسینی
#Arbaeenwalk 
#Arbaeen2021 https://t.co/Rs9mnDhYn0",عشق,positive
"حسین جان ❤

#اربعین  #Arbaeenwalk 
#Arbaeen2021 https://t.co/2pYdol2J7e",عشق,positive
